_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,review_scores,host_id,host_name,host_location,host_response_time,host_neighbourhood,host_response_rate,host_identity_verified,host_total_listings_count,suburb,government_area,market,country,country_code,location_type,longitude,latitude,availability_30,availability_60,availability_90,availability_365,amenities
1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1,1,70,1,135,135,0,1,94,454250,Greta,"New York, New York, United States",within an hour,Not Specified,100,True,3,Manhattan,Upper West Side,New York,United States,US,Point,-73.96523,40.79962,0,0,0,93,"['Air conditioning', 'Buzzer/wireless intercom', 'Dryer', 'Elevator', 'Family/kid friendly', 'Heating', 'Internet', 'Kitchen', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_50']"
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1,2,29,1,121,Not Specified,0,1,92,52004703,Mehmet Emin,"Istanbul, İstanbul, Turkey",within a few hours,Not Specified,100,True,2,Fatih,Fatih,Istanbul,Turkey,TR,Point,28.98009,41.0062,30,60,90,365,"['Air conditioning', 'Building staff', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Shampoo', 'Smoking allowed', 'Suitable for events', 'Washer', 'Wifi']"
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1,2,3,1,699,Not Specified,0,1,100,51624384,Giovanni,"Hong Kong, Hong Kong",Not Specified,Soho,Not Specified,False,1,Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,114.15027,22.28158,0,0,0,0,"['24-hour check-in', 'Air conditioning', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Heating', 'Kitchen', 'Smoking allowed', 'translation missing: en.hosting_amenity_50']"
10084023,City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1,1,81,1,181,50,100,1,92,51744313,Yi,United States,within an hour,Shek Kip Mei,100,True,2,Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,114.1669,22.3314,14,24,40,220,"['Air conditioning', 'Dishes and silverware', 'Elevator', 'First aid kit', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Microwave', 'Refrigerator', 'Stove', 'TV', 'Wifi']"
10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0,1,64,1,181,50,0,1,95,13764143,Ben,"New South Wales, Australia",Not Specified,Surry Hills,Not Specified,True,1,Darlinghurst,Sydney,Sydney,Australia,AU,Point,151.21554,-33.88029,0,0,0,0,"['Bed linens', 'Dryer', 'Elevator', 'Essentials', 'Ethernet connection', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Other', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']"
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,2,1,1,0,1,40,50,25,2,0,2649859,Elisabete,"Porto, Porto, Portugal",Not Specified,Not Specified,Not Specified,True,2,Not Specified,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,-8.60867,41.1543,30,60,87,359,"['Cable TV', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Hot water', 'Lock on bedroom door', 'Long term stays allowed', 'Other', 'Shampoo', 'Smoke detector', 'TV', 'Wifi']"
10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1,1,1,1,145,60,0,1,100,34607505,Scott,"New York, New York, United States",Not Specified,Chelsea,Not Specified,True,1,Manhattan,Chelsea,New York,United States,US,Point,-74.00074,40.74577,0,0,0,0,"['Carbon monoxide detector', 'Essentials', 'Fire extinguisher', 'Heating', 'Internet', 'Kitchen', 'Smoke detector', 'TV', 'Wifi']"
10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1,1,239,1,45,Not Specified,10,1,95,1017772,Lane,US,within an hour,Jamaica,100,True,1,Queens,Briarwood,New York,United States,US,Point,-73.82257,40.71485,20,29,29,34,"['Carbon monoxide detector', 'Essentials', 'Family/kid friendly', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Private entrance', 'Shampoo', 'Smoke detector', 'Wifi', 'translation missing: en.hosting_amenity_50']"
10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1,1,1,1,40,Not Specified,0,1,100,11275734,Josh,"New York, New York, United States",Not Specified,Bushwick,Not Specified,True,1,Brooklyn,Bushwick,New York,United States,US,Point,-73.93615,40.69791,0,0,0,0,"['Air conditioning', 'Buzzer/wireless intercom', 'Carbon monoxide detector', 'Essentials', 'Heating', 'Internet', 'Kitchen', 'Lock on bedroom door', 'Smoke detector', 'Wifi']"
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1,3,70,2,119,150,40,3,98,51530266,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,Copacabana,100,True,2,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-43.190849194463404,-22.984339360067814,7,19,33,118,"['Air conditioning', 'Bed linens', 'Buzzer/wireless intercom', 'Cable TV', 'Coffee maker', 'Dishes and silverware', 'Doorman', 'Elevator', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Microwave', 'Oven', 'Paid parking off premises', 'Refrigerator', 'Smoking allowed', 'Stove', 'TV', 'Washer', 'Wide hallway clearance', 'Wifi']"
